,grid_id,link,line_1,line_2,line_3,lat,lng,postcode,primary,city,state,state_code,country,country_code,geonames_city_id,acronym,name,wikipedia_url,email_address,established,relationship_type,related_grid_id
0,grid.1001.0,http://www.anu.edu.au/,,,,-35.2778,149.1205,,0.0,Canberra,Australian Capital Territory,AU-ACT,Australia,AU,2172517.0,ANU,Australian National University,http://en.wikipedia.org/wiki/Australian_National_University,,1946.0,"['Related', 'Related', 'Related']","['grid.460694.9', 'grid.413314.0', 'grid.460721.6']"
1,grid.1002.3,http://www.monash.edu/,,,,-37.9083,145.138,,0.0,Melbourne,Victoria,AU-VIC,Australia,AU,2158177.0,,Monash University,http://en.wikipedia.org/wiki/Monash_University,,1958.0,"['Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Child', 'Child']","['grid.1623.6', 'grid.414580.c', 'grid.1056.2', 'grid.415031.2', 'grid.460735.3', 'grid.416057.1', 'grid.416060.5', 'grid.470947.9', 'grid.484852.7', 'grid.464914.a']"
2,grid.1003.2,http://www.uq.edu.au/,,,,-27.495964,153.009627,,0.0,Brisbane,Queensland,AU-QLD,Australia,AU,2174003.0,UQ,University of Queensland,http://en.wikipedia.org/wiki/University_of_Queensland,,1909.0,"['Related', 'Related', 'Related', 'Related']","['grid.460731.7', 'grid.240416.5', 'grid.412744.0', 'grid.416100.2']"
3,grid.1004.5,http://mq.edu.au/,,,,-33.775259000000005,151.112915,,0.0,Sydney,New South Wales,AU-NSW,Australia,AU,2147714.0,,Macquarie University,http://en.wikipedia.org/wiki/Macquarie_University,,1964.0,['Related'],['grid.416790.d']
4,grid.1005.4,https://www.unsw.edu.au/,,,,-33.917730999999996,151.230964,,0.0,Sydney,New South Wales,AU-NSW,Australia,AU,2147714.0,UNSW,UNSW Sydney,http://en.wikipedia.org/wiki/University_of_New_South_Wales,,1949.0,"['Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related']","['grid.414201.2', 'grid.418393.4', 'grid.413950.a', 'grid.432149.9', 'grid.429098.e', 'grid.460744.5', 'grid.250407.4', 'grid.415193.b', 'grid.416139.8', 'grid.460804.e', 'grid.460806.c', 'grid.416398.1', 'grid.460648.8', 'grid.414009.8', 'grid.416790.d', 'grid.1057.3', 'grid.460669.b']"
5,grid.1006.7,http://www.ncl.ac.uk/,,,,54.978,-1.615,,0.0,Newcastle upon Tyne,,,United Kingdom,GB,2641673.0,,Newcastle University,http://en.wikipedia.org/wiki/Newcastle_University,,1834.0,"['Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Child']","['grid.415050.5', 'grid.454379.8', 'grid.156122.3', 'grid.472342.4', 'grid.473733.7', 'grid.415506.3', 'grid.419334.8', 'grid.414158.d', 'grid.450004.5']"
6,grid.1007.6,https://www.uow.edu.au/index.html,,,,-34.405147,150.878387,,0.0,Wollongong,New South Wales,AU-NSW,Australia,AU,2171507.0,UOW,University of Wollongong,http://en.wikipedia.org/wiki/University_of_Wollongong,,1951.0,"['Related', 'Related', 'Related', 'Child']","['grid.460804.e', 'grid.460806.c', 'grid.417154.2', 'grid.444532.0']"
7,grid.1008.9,http://www.unimelb.edu.au/,,,,-37.797115000000005,144.959972,,0.0,Melbourne,Victoria,AU-VIC,Australia,AU,2158177.0,,University of Melbourne,http://en.wikipedia.org/wiki/University_of_Melbourne,,1853.0,"['Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Child']","['grid.410678.c', 'grid.414094.c', 'grid.431365.6', 'grid.1056.2', 'grid.418002.f', 'grid.414539.e', 'grid.415335.5', 'grid.429299.d', 'grid.415325.4', 'grid.416536.3', 'grid.416107.5', 'grid.416259.d', 'grid.413105.2', 'grid.1073.5', 'grid.410670.4', 'grid.483778.7']"
8,grid.1009.8,http://www.utas.edu.au/,,,,-42.902093,147.332497,,0.0,Hobart,Tasmania,AU-TAS,Australia,AU,2163355.0,UTAS,University of Tasmania,http://en.wikipedia.org/wiki/University_of_Tasmania,,1890.0,"['Related', 'Related', 'Related']","['grid.454236.2', 'grid.415834.f', 'grid.416131.0']"
9,grid.1010.0,http://www.adelaide.edu.au/,,,,-34.920656,138.605756,,0.0,Adelaide,South Australia,AU-SA,Australia,AU,2078025.0,,University of Adelaide,http://en.wikipedia.org/wiki/University_of_Adelaide,,1874.0,"['Related', 'Related', 'Related', 'Related', 'Related', 'Child']","['grid.410664.1', 'grid.460761.2', 'grid.416037.7', 'grid.416075.1', 'grid.1694.a', 'grid.505530.6']"
10,grid.1011.1,http://www.jcu.edu.au/,,,,-19.327778,146.758333,,0.0,Townsville,Queensland,AU-QLD,Australia,AU,2146142.0,JCU,James Cook University,http://en.wikipedia.org/wiki/James_Cook_University,,1961.0,['Related'],['grid.456586.c']
11,grid.1012.2,http://www.uwa.edu.au/,,,,-31.980915000000003,115.819878,,0.0,Perth,Western Australia,AU-WA,Australia,AU,2063523.0,UWA,University of Western Australia,http://en.wikipedia.org/wiki/University_of_Western_Australia,,1911.0,"['Related', 'Related', 'Related', 'Related', 'Related', 'Child']","['grid.415051.4', 'grid.1489.4', 'grid.416195.e', 'grid.3521.5', 'grid.454082.f', 'grid.499230.5']"
12,grid.1013.3,http://sydney.edu.au/,,,,-33.88858,151.187304,,0.0,Sydney,New South Wales,AU-NSW,Australia,AU,2147714.0,USYD,University of Sydney,http://en.wikipedia.org/wiki/University_of_Sydney,,1850.0,"['Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Related', 'Child']","['grid.414201.2', 'grid.460687.b', 'grid.460711.5', 'grid.248902.5', 'grid.413973.b', 'grid.414235.5', 'grid.414685.a', 'grid.415508.d', 'grid.460725.2', 'grid.415326.7', 'grid.460783.e', 'grid.413243.3', 'grid.416139.8', 'grid.412703.3', 'grid.413249.9', 'grid.416787.b', 'grid.462883.3', 'grid.460659.8', 'grid.416790.d', 'grid.413252.3', 'grid.452919.2', 'grid.417229.b']"
13,grid.1014.4,http://www.flinders.edu.au/,,,,-35.024038,138.57261499999998,,0.0,Adelaide,South Australia,AU-SA,Australia,AU,2078025.0,,Flinders University,http://en.wikipedia.org/wiki/Flinders_University,,1966.0,"['Related', 'Related', 'Related', 'Related']","['grid.473574.6', 'grid.414925.f', 'grid.240634.7', 'grid.1694.a']"
14,grid.1016.6,http://www.csiro.au/,,,,-35.276270000000004,149.14611399999998,,0.0,Canberra,Australian Capital Territory,AU-ACT,Australia,AU,2172517.0,CSIRO,Commonwealth Scientific and Industrial Research Organisation,http://en.wikipedia.org/wiki/Commonwealth_Scientific_and_Industrial_Research_Organisation,,1926.0,"['Parent', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child', 'Child']","['grid.450426.1', 'grid.493032.f', 'grid.417660.2', 'grid.496740.8', 'grid.421683.a', 'grid.413322.5', 'grid.483321.f', 'grid.467740.6', 'grid.492989.7', 'grid.483274.e', 'grid.492990.f', 'grid.499335.1', 'grid.473890.1', 'grid.467784.e', 'grid.473897.6', 'grid.425461.0', 'grid.497266.8', 'grid.496760.a', 'grid.417653.2', 'grid.413347.6', 'grid.417671.2', 'grid.469914.7', 'grid.494571.a', 'grid.473585.8', 'grid.417654.5', 'grid.494572.9', 'grid.496759.0', 'grid.417667.5', 'grid.428408.2']"
15,grid.1017.7,https://www.rmit.edu.au/,,,,-37.806748,144.962573,,0.0,Melbourne,Victoria,AU-VIC,Australia,AU,2158177.0,RMIT,RMIT University,http://en.wikipedia.org/wiki/RMIT_University,,1887.0,"['Related', 'Child', 'Child']","['grid.414094.c', 'grid.493437.e', 'grid.462760.1']"
16,grid.1018.8,http://www.latrobe.edu.au/,,,,-37.721790000000006,145.047909,,0.0,Melbourne,Victoria,AU-VIC,Australia,AU,2158177.0,,La Trobe University,http://en.wikipedia.org/wiki/La_Trobe_University,,1964.0,"['Related', 'Related', 'Related']","['grid.414094.c', 'grid.414580.c', 'grid.416259.d']"
17,grid.1019.9,http://www.vu.edu.au/,,,,-37.794167,144.9,,0.0,Melbourne,Victoria,AU-VIC,Australia,AU,2158177.0,VU,Victoria University,"http://en.wikipedia.org/wiki/Victoria_University,_Australia",,1916.0,,
18,grid.1020.3,http://www.une.edu.au/,,,,-30.489949,151.641018,,0.0,Armidale,New South Wales,AU-NSW,Australia,AU,2177671.0,UNE,University of New England,http://en.wikipedia.org/wiki/University_of_New_England_(Australia),,1938.0,['Related'],['grid.413206.2']
19,grid.1021.2,http://www.deakin.edu.au/,,,,-38.1979,144.2973,,0.0,Geelong,Victoria,AU-VIC,Australia,AU,2165798.0,,Deakin University,http://en.wikipedia.org/wiki/Deakin_University,,1974.0,"['Related', 'Related']","['grid.414580.c', 'grid.415335.5']"
20,grid.417881.3,http://alleninstitute.org/,,,,47.649493,-122.35216399999999,,0.0,Seattle,Washington,US-WA,United States,US,5809844.0,,Allen Institute for Brain Science,https://en.wikipedia.org/wiki/Allen_Institute_for_Brain_Science,,2003.0,,
21,grid.5333.6,http://www.epfl.ch/index.en.html,,,,46.519082,6.566747,,0.0,Lausanne,,,Switzerland,CH,2659994.0,EPFL,École Polytechnique Fédérale de Lausanne,http://en.wikipedia.org/wiki/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne,,1853.0,['Related'],['grid.482253.a']
