code=409 body={'acronym': 'ANU', 'city': 'Canberra', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1946, 'geonames_city_id': 2172517, 'grid_id': 'grid.1001.0', 'lat': -35.2778, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.anu.edu.au/', 'lng': 149.1205, 'name': 'Australian National University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460721.6', 'relationship_type': 'Related', 'state': 'Australian Capital Territory', 'state_code': 'AU-ACT', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Australian_National_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1001.0'}
code=409 body={'acronym': 'ANU', 'city': 'Canberra', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1946, 'geonames_city_id': 2172517, 'grid_id': 'grid.1001.0', 'lat': -35.2778, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.anu.edu.au/', 'lng': 149.1205, 'name': 'Australian National University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.413314.0', 'relationship_type': 'Related', 'state': 'Australian Capital Territory', 'state_code': 'AU-ACT', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Australian_National_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1001.0'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.414580.c', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.1056.2', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.460735.3', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.415031.2', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.416057.1', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.416060.5', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.470947.9', 'relationship_type': 'Related', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.484852.7', 'relationship_type': 'Child', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
code=409 body={'acronym': None, 'city': 'Melbourne', 'country': 'Australia', 'country_code': 'AU', 'email_address': '', 'established': 1958, 'geonames_city_id': 2158177, 'grid_id': 'grid.1002.3', 'lat': -37.9083, 'line_1': '', 'line_2': '', 'line_3': '', 'link': 'http://www.monash.edu/', 'lng': 145.138, 'name': 'Monash University', 'postcode': '', 'primary': False, 'related_grid_id': 'grid.464914.a', 'relationship_type': 'Child', 'state': 'Victoria', 'state_code': 'AU-VIC', 'wikipedia_url': 'http://en.wikipedia.org/wiki/Monash_University', '@type': 'Organization', '@id': 'http://www.grid.ac/institutes/grid.1002.3'}
